Gene_Id	Chr	Start	End	Length	Reads	TPM	ExonLength	ExonReads	ExonTPM	IntronLength	IntronReads	IntronTPM	UniqueLength	UniqueReads	UniqueTPM	UniqueExonLength	UniqueExonReads	UniqueExonTPM	UniqueIntronLength	UniqueIntronReads	UniqueIntronTPM
YDL248W	IV	1801	2952	1152	1050	75.0063	1152	1050	68.3961	0	0	0	1152	1050	76.6232	1152	1050	68.3365	0	0	0
YDL247W-A	IV	3761	3835	75	28	30.7226	75	28	28.015	0	0	0	75	28	31.3849	75	28	27.9906	0	0	0
YDL247W	IV	5984	7813	1830	244	10.9723	1830	244	10.0054	0	0	0	1830	244	11.2089	1830	244	9.99666	0	0	0
YDL246C	IV	8682	9755	1074	271	20.7647	1074	271	18.9348	0	0	0	1074	271	21.2123	1074	271	18.9183	0	0	0
YDL245C	IV	11656	13359	1704	120	5.79525	1704	120	5.28453	0	0	0	1704	120	5.92019	1704	120	5.27992	0	0	0
YDL244W	IV	16203	17225	1023	26	2.0915	1023	26	1.90718	0	0	0	1023	26	2.13659	1023	26	1.90552	0	0	0
YDL243C	IV	17576	18565	990	215	17.8716	990	215	16.2966	0	0	0	990	215	18.2569	990	215	16.2824	0	0	0
YDL242W	IV	18958	19311	354	43	9.99599	354	43	9.11507	0	0	0	354	43	10.2115	354	43	9.10712	0	0	0
YDL241W	IV	20634	21005	372	133	29.4218	372	133	26.8289	0	0	0	372	133	30.0561	372	133	26.8055	0	0	0
YDL240C-A	IV	22470	22607	138	3	1.78897	138	3	1.63131	0	0	0	138	3	1.82754	138	3	1.62989	0	0	0
YDL240W	IV	22822	25875	3054	547	14.7394	3054	547	13.4404	0	0	0	3054	547	15.0571	3054	547	13.4287	0	0	0
YDL239C	IV	26402	28774	2373	249	8.635	2373	249	7.87401	0	0	0	2373	249	8.82115	2373	249	7.86715	0	0	0
YDL238C	IV	28984	30453	1470	147	8.22926	1470	147	7.50403	0	0	0	1470	147	8.40666	1470	147	7.49749	0	0	0
YDL237W	IV	30656	31828	1173	755	52.9675	1173	755	48.2996	0	0	0	1173	755	54.1094	1173	755	48.2575	0	0	0
YDL236W	IV	32295	33233	939	1317	115.42	939	1317	105.248	0	0	0	939	1317	117.908	939	1317	105.157	0	0	0
YDL235C	IV	33414	33917	504	720	117.561	504	720	107.2	0	0	0	504	720	120.095	504	720	107.107	0	0	0
YDL234C	IV	34236	36476	2241	654	24.0158	2241	654	21.8993	0	0	0	2241	654	24.5335	2241	654	21.8802	0	0	0
YDL233W	IV	36796	38172	1377	275	16.4346	1377	275	14.9863	0	0	0	1377	275	16.7889	1377	275	14.9732	0	0	0
YDL232W	IV	38486	38596	111	450	333.619	111	450	304.217	0	0	0	111	450	340.811	111	450	303.952	0	0	0
YDL231C	IV	38866	42243	3378	1068	26.0179	3378	1068	23.725	0	0	0	3378	1068	26.5788	3378	1068	23.7043	0	0	0
YDL230W	IV	42699	43706	1008	330	26.941	1008	330	24.5668	0	0	0	1008	330	27.5218	1008	330	24.5454	0	0	0
YDL229W	IV	44064	45905	1842	31454	1405.23	1842	31454	1281.39	0	0	0	1212	22266	1544.41	1212	22266	1377.39	0	0	0
YDL228C	IV	45276	45917	642	10410	1334.37	642	10410	1216.78	0	0	0	12	156	1092.87	12	156	974.674	0	0	0
YDL227C	IV	46270	48030	1761	1401	65.4696	1761	1401	59.6999	0	0	0	1761	1401	66.8809	1761	1401	59.6478	0	0	0
YDL226C	IV	51114	52172	1059	1347	104.672	1059	1347	95.4479	0	0	0	1059	1347	106.929	1059	1347	95.3647	0	0	0
YDL225W	IV	52444	54099	1656	992	49.296	1656	992	44.9517	0	0	0	1656	992	50.3588	1656	992	44.9125	0	0	0
YDL224C	IV	54396	56345	1950	782	33.0014	1950	782	30.0931	0	0	0	1950	782	33.7129	1950	782	30.0669	0	0	0
YDL223C	IV	57264	60404	3141	371	9.72001	3141	371	8.86341	0	0	0	3141	371	9.92955	3141	371	8.85568	0	0	0
YDL222C	IV	60871	61800	930	91	8.05229	930	91	7.34265	0	0	0	930	91	8.22587	930	91	7.33626	0	0	0
YDL221W	IV	62010	62561	552	93	13.8645	552	93	12.6427	0	0	0	233	50	18.04	233	50	16.089	0	0	0
YDL220C	IV	62243	65017	2775	324	9.60822	2775	324	8.76146	0	0	0	2456	286	9.78952	2456	286	8.73079	0	0	0
YDL219W	IV	65241	65764	524	504	79.1517	453	504	83.4886	71	2	211.156	524	504	80.858	453	504	83.4158	71	2	209.085
YDL218W	IV	66492	67445	954	77	6.64206	954	77	6.05671	0	0	0	954	77	6.78525	954	77	6.05143	0	0	0
YDL217C	IV	67982	68605	624	562	74.1161	624	562	67.5844	0	0	0	624	562	75.7139	624	562	67.5255	0	0	0
YDL216C	IV	68996	70318	1323	232	14.4308	1323	232	13.159	0	0	0	1323	232	14.7418	1323	232	13.1475	0	0	0
YDL215C	IV	70639	73917	3279	948	23.7918	3279	948	21.6951	0	0	0	3279	948	24.3047	3279	948	21.6762	0	0	0
YDL214C	IV	74445	76544	2100	80	3.13496	2100	80	2.85868	0	0	0	2100	80	3.20254	2100	80	2.85619	0	0	0
YDL213C	IV	77288	77965	678	1030	125.017	678	1030	113.999	0	0	0	678	1030	127.712	678	1030	113.9	0	0	0
YDL212W	IV	78425	79057	633	2512	326.57	633	2512	297.79	0	0	0	633	2512	333.61	633	2512	297.531	0	0	0
YDL211C	IV	79293	80411	1119	205	15.0759	1119	205	13.7473	0	0	0	1119	205	15.4009	1119	205	13.7354	0	0	0
YDL210W	IV	84269	85984	1716	72	3.45284	1716	72	3.14854	0	0	0	1716	72	3.52727	1716	72	3.1458	0	0	0
YDL209C	IV	86206	87225	1020	241	19.4436	1020	241	17.7301	0	0	0	1020	241	19.8628	1020	241	17.7147	0	0	0
YDL208W	IV	87511	87981	471	2436	425.615	471	2436	388.107	0	0	0	471	2436	434.79	471	2436	387.768	0	0	0
YDL207W	IV	88247	89863	1617	730	37.1513	1617	730	33.8772	0	0	0	1617	730	37.9522	1617	730	33.8477	0	0	0
YDL206W	IV	90175	92463	2289	366	13.1582	2289	366	11.9986	0	0	0	2289	366	13.4418	2289	366	11.9881	0	0	0
YDL205C	IV	92761	93744	984	952	79.6164	984	952	72.6	0	0	0	984	952	81.3328	984	952	72.5367	0	0	0
YDL204W	IV	94604	95785	1182	183	12.7407	1182	183	11.6179	0	0	0	1182	183	13.0154	1182	183	11.6078	0	0	0
YDL203C	IV	96081	97952	1872	590	25.9362	1872	590	23.6505	0	0	0	1872	590	26.4954	1872	590	23.6299	0	0	0
YDL202W	IV	98474	99223	750	1018	111.698	750	1018	101.855	0	0	0	750	1018	114.106	750	1018	101.766	0	0	0
YDL201W	IV	99560	100420	861	512	48.9359	861	512	44.6233	0	0	0	861	512	49.9908	861	512	44.5844	0	0	0
YDL200C	IV	100500	101066	567	216	31.3496	567	216	28.5868	0	0	0	567	216	32.0254	567	216	28.5619	0	0	0
YDL199C	IV	101289	103352	2064	108	4.30601	2064	108	3.92653	0	0	0	2064	108	4.39884	2064	108	3.92311	0	0	0
YDL198C	IV	103648	104550	903	2421	220.632	903	2421	201.188	0	0	0	903	2421	225.388	903	2421	201.012	0	0	0
YDL197C	IV	104916	106493	1578	416	21.6944	1578	416	19.7825	0	0	0	1578	416	22.1621	1578	416	19.7653	0	0	0
YDL196W	IV	106740	107069	330	15	3.74057	330	15	3.41092	0	0	0	330	15	3.82121	330	15	3.40795	0	0	0
YDL195W	IV	107207	111028	3822	3144	67.6944	3822	3144	61.7286	0	0	0	3822	3144	69.1537	3822	3144	61.6748	0	0	0
YDL194W	IV	111579	114233	2655	143	4.43233	2655	143	4.04172	0	0	0	2655	143	4.52788	2655	143	4.0382	0	0	0
YDL193W	IV	114671	115798	1128	439	32.027	1128	439	29.2045	0	0	0	1128	439	32.7174	1128	439	29.1791	0	0	0
YDL192W	IV	116320	116865	546	5998	904.013	546	5998	824.344	0	0	0	546	5998	923.501	546	5998	823.626	0	0	0
YDL191W	IV	117663	118516	854	19228	1852.84	363	18973	3922.15	491	324	4946.47	854	19228	1892.78	363	18973	3918.73	491	324	4897.95
YDL190C	IV	118706	121591	2886	1150	32.7916	2886	1150	29.9017	0	0	0	2886	1150	33.4985	2886	1150	29.8757	0	0	0
YDL189W	IV	122215	123588	1374	805	48.2136	1374	805	43.9647	0	0	0	1374	805	49.253	1374	805	43.9264	0	0	0
YDL188C	IV	123864	124997	1134	1022	74.1649	1134	1022	67.6289	0	0	0	1134	1022	75.7638	1134	1022	67.57	0	0	0
YDL187C	IV	125508	125837	330	10	2.49372	330	10	2.27395	0	0	0	107	1	0.785669	107	1	0.7007	0	0	0
YDL186W	IV	125615	126448	834	47	4.63759	834	47	4.22889	0	0	0	611	43	5.91631	611	43	5.27647	0	0	0
YDL185C-A	IV	126607	126834	228	220	79.4051	228	220	72.4073	0	0	0	179	151	70.9165	179	151	63.247	0	0	0
YDL185W	IV	126786	130001	3216	6656	170.317	3216	6656	155.307	0	0	0	3167	6564	174.239	3167	6564	155.395	0	0	0
YDL184C	IV	130406	130483	78	14087	14862.3	78	14087	13552.5	0	0	0	78	14087	15182.6	78	14087	13540.7	0	0	0
YDL183C	IV	130870	131832	963	191	16.3218	963	191	14.8834	0	0	0	963	191	16.6737	963	191	14.8704	0	0	0
YDL182W	IV	133436	134722	1287	13500	863.209	1287	13500	787.136	0	0	0	1287	13500	881.818	1287	13500	786.45	0	0	0
YDL181W	IV	135178	135435	258	811	258.679	258	811	235.883	0	0	0	258	811	264.256	258	811	235.677	0	0	0
YDL180W	IV	135895	137538	1644	613	30.6845	1644	613	27.9804	0	0	0	1644	613	31.346	1644	613	27.956	0	0	0
YDL179W	IV	138290	139204	915	458	41.1913	915	458	37.5612	0	0	0	915	458	42.0793	915	458	37.5284	0	0	0
YDL178W	IV	139521	141113	1593	2177	112.461	1593	2177	102.55	0	0	0	1593	2177	114.886	1593	2177	102.461	0	0	0
YDL177C	IV	141208	141720	513	183	29.3558	513	183	26.7688	0	0	0	513	183	29.9887	513	183	26.7454	0	0	0
YDL176W	IV	142096	144222	2127	267	10.3301	2127	267	9.41973	0	0	0	2127	267	10.5528	2127	267	9.41152	0	0	0
YDL175C	IV	144483	145517	1035	318	25.2841	1035	318	23.0559	0	0	0	1035	318	25.8292	1035	318	23.0358	0	0	0
YDL174C	IV	145825	147588	1764	4271	199.247	1764	4271	181.688	0	0	0	1764	4271	203.542	1764	4271	181.529	0	0	0
YDL173W	IV	148190	149077	888	1105	102.402	888	1105	93.3779	0	0	0	416	553	111.752	416	553	99.6662	0	0	0
YDL172C	IV	148606	149085	480	664	113.838	480	664	103.806	0	0	0	8	20	210.167	8	20	187.437	0	0	0
YDL171C	IV	149202	155639	6438	5426	69.3569	6438	5426	63.2446	0	0	0	6438	5426	70.8521	6438	5426	63.1895	0	0	0
YDL170W	IV	156317	157903	1587	660	34.2238	1587	660	31.2077	0	0	0	1587	660	34.9615	1587	660	31.1805	0	0	0
YDL169C	IV	158063	158734	672	41	5.02083	672	41	4.57835	0	0	0	672	41	5.12907	672	41	4.57436	0	0	0
YDL168W	IV	159603	160763	1161	1387	98.3117	1161	1387	89.6476	0	0	0	1161	1387	100.431	1161	1387	89.5695	0	0	0
YDL167C	IV	160994	163153	2160	1055	40.1938	2160	1055	36.6516	0	0	0	2160	1055	41.0603	2160	1055	36.6197	0	0	0
YDL166C	IV	163448	164041	594	586	81.1843	594	586	74.0297	0	0	0	594	586	82.9344	594	586	73.9652	0	0	0
YDL165W	IV	164289	164864	576	425	60.7194	576	425	55.3683	0	0	0	576	425	62.0283	576	425	55.32	0	0	0
YDL164C	IV	164986	167253	2268	1016	36.8648	2268	1016	33.6159	0	0	0	1969	933	39.8345	1969	933	35.5265	0	0	0
YDL163W	IV	166955	167257	303	97	26.3445	303	97	24.0228	0	0	0	4	14	294.233	4	14	262.412	0	0	0
YDL162C	IV	167358	167714	357	14	3.22716	357	14	2.94276	0	0	0	355	9	2.13127	355	9	1.90077	0	0	0
YDL161W	IV	167713	169077	1365	1045	63.0006	1365	1045	57.4484	0	0	0	1363	1045	64.4531	1363	1045	57.4826	0	0	0
YDL160C-A	IV	169365	169607	243	160	54.1844	243	160	49.4093	0	0	0	243	160	55.3525	243	160	49.3662	0	0	0
YDL160C	IV	170409	171929	1521	453	24.5092	1521	453	22.3493	0	0	0	1521	453	25.0376	1521	453	22.3298	0	0	0
YDL159W-A	IV	172181	172312	132	7	4.364	132	7	3.97941	0	0	0	132	7	4.45808	132	7	3.97594	0	0	0
YDL159W	IV	172480	174027	1548	341	18.1278	1548	341	16.5302	0	0	0	1208	285	19.8336	1208	285	17.6886	0	0	0
YDL159C-B	IV	173055	173231	177	54	25.1062	177	54	22.8937	0	0	0	0	0	0	0	0	0	0	0	0
YDL158C	IV	173865	174173	309	159	42.3447	309	159	38.613	0	0	0	146	127	73.1265	146	127	65.2179	0	0	0
YDL157C	IV	174231	174587	357	689	158.822	357	689	144.826	0	0	0	357	689	162.246	357	689	144.699	0	0	0
YDL156W	IV	174917	176485	1569	256	13.427	1569	256	12.2437	0	0	0	1569	256	13.7164	1569	256	12.233	0	0	0
YDL155W	IV	176772	178055	1284	725	46.4658	1284	725	42.3709	0	0	0	1284	725	47.4675	1284	725	42.334	0	0	0
YDL154W	IV	178333	181038	2706	206	6.2647	2706	206	5.7126	0	0	0	2706	206	6.39975	2706	206	5.70763	0	0	0
YDL153C	IV	181185	183017	1833	1800	80.8111	1833	1800	73.6893	0	0	0	1636	1525	78.3628	1636	1525	69.888	0	0	0
YDL152W	IV	182821	183186	366	403	90.6118	366	403	82.6264	0	0	0	169	12	5.96923	169	12	5.32366	0	0	0
YDL151C	IV	183317	183898	582	464	65.6078	582	464	59.826	0	0	0	25	90	302.64	25	90	269.91	0	0	0
YDL150W	IV	183342	184610	1269	796	51.6193	1269	796	47.0702	0	0	0	712	467	55.1392	712	467	49.176	0	0	0
YDL149W	IV	184924	187917	2994	319	8.76798	2994	319	7.99528	0	0	0	2994	319	8.957	2994	319	7.98831	0	0	0
YDL148C	IV	188153	190585	2433	1688	57.0941	2433	1688	52.0625	0	0	0	2433	1688	58.3249	2433	1688	52.0171	0	0	0
YDL147W	IV	190923	192260	1338	3006	184.882	1338	3006	168.588	0	0	0	1338	3006	188.867	1338	3006	168.441	0	0	0
YDL146W	IV	192749	194224	1476	268	14.942	1476	268	13.6252	0	0	0	1476	268	15.2641	1476	268	13.6133	0	0	0
YDL145C	IV	194570	198175	3606	4014	91.6036	3606	4014	83.5307	0	0	0	3606	4014	93.5783	3606	4014	83.4579	0	0	0
YDL144C	IV	198661	199731	1071	682	52.4029	1071	682	47.7848	0	0	0	1071	682	53.5326	1071	682	47.7431	0	0	0
YDL143W	IV	199995	201581	1587	3260	169.045	1587	3260	154.147	0	0	0	1587	3260	172.689	1587	3260	154.013	0	0	0
YDL142C	IV	201718	202569	852	251	24.2435	852	251	22.1069	0	0	0	852	251	24.7661	852	251	22.0877	0	0	0
YDL141W	IV	203038	205110	2073	835	33.1473	2073	835	30.2261	0	0	0	2073	835	33.8619	2073	835	30.1997	0	0	0
YDL140C	IV	205359	210560	5202	4113	65.0653	5202	4113	59.3312	0	0	0	5202	4113	66.4679	5202	4113	59.2795	0	0	0
YDL139C	IV	211374	212045	672	136	16.6545	672	136	15.1867	0	0	0	672	136	17.0135	672	136	15.1735	0	0	0
YDL138W	IV	213350	215641	2292	584	20.9681	2292	584	19.1202	0	0	0	2292	584	21.4201	2292	584	19.1036	0	0	0
YDL137W	IV	216528	217073	546	2542	383.128	546	2542	349.363	0	0	0	546	2542	391.387	546	2542	349.059	0	0	0
YDL136W	IV	217599	218366	768	16482	1766.08	363	16332	3376.19	405	207	3831.31	768	16482	1804.15	363	16332	3373.25	405	207	3793.73
YDL135C	IV	218679	219287	609	850	114.858	609	850	104.736	0	0	0	609	850	117.334	609	850	104.645	0	0	0
YDL134C	IV	219661	220770	1110	1106	81.996	1110	1106	74.7699	0	0	0	1110	1106	83.7637	1110	1106	74.7047	0	0	0
YDL133C-A	IV	221723	221800	78	14238	15021.6	78	14238	13697.7	0	0	0	78	14238	15345.4	78	14238	13685.8	0	0	0
YDL133W	IV	222426	223739	1314	414	25.9278	1314	414	23.6428	0	0	0	1314	414	26.4867	1314	414	23.6222	0	0	0
YDL132W	IV	224303	226750	2448	1603	53.8869	2448	1603	49.1379	0	0	0	2448	1603	55.0485	2448	1603	49.0951	0	0	0
YDL131W	IV	227392	228714	1323	8932	555.584	1323	8932	506.621	0	0	0	1323	8932	567.561	1323	8932	506.18	0	0	0
YDL130W-A	IV	229170	229430	261	467	147.244	261	467	134.268	0	0	0	261	467	150.418	261	467	134.151	0	0	0
YDL130W	IV	229905	230526	622	7514	994.126	321	7338	1715.41	301	294	7321.72	622	7514	1015.56	321	7338	1713.91	301	294	7249.9
YDL129W	IV	231023	231898	876	147	13.8094	876	147	12.5924	0	0	0	876	147	14.1071	876	147	12.5814	0	0	0
YDL128W	IV	232651	233886	1236	1397	93.0119	1236	1397	84.815	0	0	0	1236	1397	95.0171	1236	1397	84.7411	0	0	0
YDL127W	IV	234926	235852	927	290	25.7442	927	290	23.4754	0	0	0	927	290	26.2992	927	290	23.4549	0	0	0
YDL126C	IV	236156	238663	2508	9738	319.524	2508	9738	291.365	0	0	0	2508	9738	326.412	2508	9738	291.111	0	0	0
YDL125C	IV	239018	239605	588	1810	253.316	477	1802	283.486	111	31	2093.49	588	1810	258.777	477	1802	283.239	111	31	2072.95
YDL124W	IV	240258	241196	939	1435	125.761	939	1435	114.678	0	0	0	939	1435	128.472	939	1435	114.578	0	0	0
YDL123W	IV	241417	241839	423	310	60.309	423	310	54.9941	0	0	0	423	310	61.6091	423	310	54.9462	0	0	0
YDL122W	IV	242551	244980	2430	1981	67.0871	2430	1981	61.1748	0	0	0	2430	1981	68.5333	2430	1981	61.1215	0	0	0
YDL121C	IV	245132	245581	450	1044	190.919	450	1044	174.094	0	0	0	450	1044	195.035	450	1044	173.942	0	0	0
YDL120W	IV	245922	246446	525	584	91.5407	525	584	83.4734	0	0	0	525	584	93.5141	525	584	83.4007	0	0	0
YDL119C	IV	246688	247611	924	254	22.6216	924	254	20.628	0	0	0	613	138	18.9253	613	138	16.8785	0	0	0
YDL118W	IV	247301	247681	381	147	31.7507	381	147	28.9526	0	0	0	70	45	54.0428	70	45	48.1982	0	0	0
YDL117W	IV	248580	251237	2658	814	25.2017	2658	814	22.9807	0	0	0	2658	814	25.745	2658	814	22.9607	0	0	0
YDL116W	IV	251565	253745	2181	865	32.6378	2181	865	29.7615	0	0	0	2181	865	33.3414	2181	865	29.7356	0	0	0
YDL115C	IV	253994	255125	1132	556	40.4193	1062	556	39.2866	70	32	3426.76	1018	545	45.0062	1018	545	40.1388	0	0	0
YDL114W-A	IV	254934	255047	114	114	82.2926	114	114	75.0403	0	0	0	0	0	0	0	0	0	0	0	0
YDL114W	IV	255603	256529	927	15	1.3316	927	15	1.21424	0	0	0	927	15	1.3603	927	15	1.21319	0	0	0
YDL113C	IV	256632	258554	1923	483	20.6694	1923	483	18.8479	0	0	0	1923	483	21.115	1923	483	18.8315	0	0	0
YDL112W	IV	258914	263224	4311	1444	27.5645	4311	1444	25.1353	0	0	0	4311	1444	28.1587	4311	1444	25.1134	0	0	0
YDL111C	IV	263312	264109	798	734	75.6927	798	734	69.022	0	0	0	798	734	77.3244	798	734	68.9619	0	0	0
YDL110C	IV	264511	264963	453	533	96.8255	453	533	88.2925	0	0	0	453	533	98.9128	453	533	88.2155	0	0	0
YDL109C	IV	265257	267200	1944	211	8.93196	1944	211	8.14481	0	0	0	1944	211	9.12452	1944	211	8.13771	0	0	0
YDL108W	IV	267697	268698	1002	348	28.5807	921	348	28.354	81	12	1110.53	1002	348	29.1968	921	348	28.3293	81	12	1099.63
YDL107W	IV	268920	269975	1056	309	24.0799	1056	309	21.9578	0	0	0	1056	309	24.599	1056	309	21.9387	0	0	0
YDL106C	IV	270221	271900	1680	450	22.0427	1680	450	20.1001	0	0	0	1680	450	22.5178	1680	450	20.0826	0	0	0
YDL105W	IV	272388	273596	1209	166	11.2991	1209	166	10.3033	0	0	0	1209	166	11.5426	1209	166	10.2943	0	0	0
YDL104C	IV	273652	274875	1224	231	15.5307	1224	231	14.162	0	0	0	1224	231	15.8655	1224	231	14.1497	0	0	0
YDL103C	IV	275147	276580	1434	849	48.7213	1434	849	44.4276	0	0	0	1434	849	49.7717	1434	849	44.3889	0	0	0
YDL102W	IV	276871	280164	3294	585	14.6148	3294	585	13.3268	0	0	0	3294	585	14.9299	3294	585	13.3152	0	0	0
YDL101C	IV	280306	281847	1542	602	32.1272	1542	602	29.2959	0	0	0	1542	602	32.8198	1542	602	29.2704	0	0	0
YDL100C	IV	282111	283175	1065	2927	226.169	1065	2927	206.238	0	0	0	1065	2927	231.045	1065	2927	206.058	0	0	0
YDL099W	IV	283418	284443	1026	994	79.726	1026	994	72.6999	0	0	0	1026	994	81.4447	1026	994	72.6365	0	0	0
YDL098C	IV	284580	285164	585	148	20.8193	585	148	18.9846	0	0	0	585	148	21.2681	585	148	18.968	0	0	0
YDL097C	IV	285390	286694	1305	3266	205.952	1305	3266	187.802	0	0	0	1305	3266	210.392	1305	3266	187.638	0	0	0
YDL096C	IV	286997	287323	327	679	170.877	327	679	155.818	0	0	0	61	98	135.058	61	98	120.452	0	0	0
YDL095W	IV	287058	289511	2454	4490	150.568	2454	4490	137.299	0	0	0	2188	3956	151.996	2188	3956	135.558	0	0	0
YDL094C	IV	289571	290080	510	85	13.7154	510	85	12.5067	0	0	0	337	49	12.2233	337	49	10.9014	0	0	0
YDL093W	IV	289908	292139	2232	648	23.8914	2232	648	21.7859	0	0	0	2059	615	25.1098	2059	615	22.3942	0	0	0
YDL092W	IV	292780	293220	441	658	122.786	441	658	111.965	0	0	0	441	658	125.433	441	658	111.867	0	0	0
YDL091C	IV	293391	294758	1368	482	28.9949	1368	482	26.4396	0	0	0	1368	482	29.62	1368	482	26.4166	0	0	0
YDL090C	IV	295033	296328	1296	374	23.748	1296	374	21.6552	0	0	0	1296	374	24.26	1296	374	21.6363	0	0	0
